Pair Address,Token A Address,Token B Address,Token A Reserve,Token B Reserve,Transaction Hash,Block Number,Has Liquidity
0x7C88Dd67138291D38F0feA2889E4A341Cd8983b1,0x1Bdd8878252DaddD3Af2ba30628813271294eDc0,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,277658793635164233321309,25231848555315279142241,0x56134b450e19bd3a064a14d2d7590a976c42061448cb611cdc5ec25a18763411,69348133,true
0xf44A81156475f2dFBb371B0171228aa40C9e2dcF,0xBE5ACfd64358805616b5cbD5277B9A85011d7Cf1,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,5190193646709640019264437,169079258897104462,0xfb6d3899e514a167a41a54b7c2cb5af6cd28e43a74f2aa51bd5130b3d096bd6e,69049246,true
0x32C1882bAf179f6059d101AAD3feAC15B2B90dA3,0x58538e6A46E07434d7E7375Bc268D3cb839C0133,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,692977037909406562154,381649108538847386942,0x6ed1ba4a547baa22bee85b52165dda09f4eb15eda256bb999cd1ef49e9567178,62395049,true
0x43dB0Df8547b97A14a2B2Ff686aD9Ab0559CC1F0,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,17007185923142517224,14309475358906552543,0xa4f98cfec914bc748670e8501bf3efff27f4582d642bfd84d8bc32b58f42f8b4,61791722,true
0xC8eb739C47F02e078D10C422895d8ef5eC549738,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,0xD7782b99671DD23203eBd4584FC71cf2B3dbB111,37661415834464464651,41159561481393131668690,0x51bf77c024ea43f0d2ebc0e0fe8a76e0a8d4835526ec17ea7409744f6f32d340,61702075,true
0xae9a0d9b1c9cd31D60FdBfe270CCb8C878bb15c8,0x26a6b0dcdCfb981362aFA56D581e4A7dBA3Be140,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,34667850634686217287,602621578158786,0x55e83dd319e5ea7418e6008e50ad39ee778ef88a381359e973a0010697437d30,61362160,true
0xD2Dd887B3cb495146884C9450c655E501f761053,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,0x7f4dB37D7bEb31F445307782Bc3Da0F18dF13696,137928531092087933448,359364577495667607,0x704a40c857ae7d66441762f87a64e4c07907a5dc47b06674a314fc2690d31085,60492850,true
0xaCe7A42C030759ea903e9c39AD26a0f9B4a11927,0x26a6b0dcdCfb981362aFA56D581e4A7dBA3Be140,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,2769903215739275171380,196619649067200255745,0xe91c7940bf9e060408d945ab4c0c3b035cf6e76f7ca51ccbc99f1cc0aac913a1,60263739,true
x05C53A5233E7105cAE6c37eE5A7bc7D43131625b,0x51cfe5b1E764dC253F4c8C1f19a081fF4C3517eD,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,145529855393445386787569,17797399449290089,0xda968c36e5b55b3801fe93c72d7f079fb35c34e8318fa47d256b2e759cd412f1,57829309,true
0xFb16B5CCC62dc125834c33BF6B063c87e6e6F581,0x25356aeca4210eF7553140edb9b8026089E49396,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,3668360992173709441453429,13517468309818090112,0x11f2ddc8bf794d81fc814389d12ea010aaa8d919738405e6119ca688b09f7342,57828574,true
0x2823f3a92dAbe207Ac8601F947225AE10212F39F,0x217B4382a1De262C0FBa97C1B8378904B4a25e4D,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,2468264273030881898853,11676078139691892740,0x467cccce95cf9b7da67f71ee2b54ae2cae4fc248b02cf56cf67ae1d5de416c63,54862050,true
0x19ab2dc371f923086cd218Fbc7C200951feCb62d,0x33678772eD04778f6C0EA02F627A3288ad834CC4,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,409460000000000000315575,5190018220708231010,0x0d8b95957ceb9433b1404206db64abeb68139f7fbc8b15e90843b2faa8ac1a0e,54514383,true
0x97aC85111fA3d50011aa8514B4dBd254483735FB,0x20E0E3aE6DcBA45A26cb82Ee33d80bB389ddB58d,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,8000000000000000000000000,1000000000000000000,0x8ff27a9ce1b3038a304ddd6a1d838c1c390f9e83cc303464527d0a13d693ba3a,54503552,true
0x5CA52F7190C11748E21a6547E81Ce21C92AC19e8,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,0x7e51aD847CDf8729Efc97CFa6E8aFA4D658Cb85b,11852939963404081054,6399366510549493945637,0xbac6b4d0305e5d074f0fe90c143bc24017811ec70283970986ea556d1aec8b71,48777691,true
0x532D8Bc19fd668267339F99DA9c8B7853aC68d2a,0x050A0789b3b5Ff6fE33E4A6727da9f4546E94804,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,16310547131633829258190592137,3820501856156951220,0x6804f8ef9806ca3399ced93f8e627ab2d1a96f925fedcff62aeff06838e0a6c5,48587755,true
0xF33C3A40d3208F0F1DaB6D8dC41f4243793267E9,0x9A91126cEf5939130bD0a7025F7cEbEfF530c966,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,10000000000000000000000000000,50002985486303926,0x2c898fa770ffda24de3bdcc9aa1906bbf6aedd61d31b3b8fd36ae4774a570b5b,48369003,true
0xe5d68419AD3C70358bc907ff278FE9Bbe1458fA9,0x70BA1a777B3f639C58FD5bc6A5C8780ddcEf533b,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,1973109491138164458495637211,504551142644058967669,0xc2127265e733a4c8430b8a465eca9cf497f5f9e1471a1ced65cc29e0ee7466a3,42630009,true
0xB70F7b25fe962EaB2DBd634c756b6f8251764609,0x25356aeca4210eF7553140edb9b8026089E49396,0x4515A45337F461A11Ff0FE8aBF3c606AE5dC00c9,4475077464975626981706,1067698127818181944412,0x8c3877a96b4b86007584eecf55dacce06e0989bc17adb8408383dd5b7fcbb079,42076488,true
0xd27492C12826187a804b52d16EE4f74479563cC4,0x4515A45337F461A11Ff0FE8aBF3c606AE5dC00c9,0x51cfe5b1E764dC253F4c8C1f19a081fF4C3517eD,251124640478891581537,32349250577443717297705,0x0b5fcc0bc43ff4360105209aa4c8aea9d4be2a1d46b725307d6929105ea12243,41362504,true
0xb670D2B452D0Ecc468cccFD532482d45dDdDe2a1,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,0x4515A45337F461A11Ff0FE8aBF3c606AE5dC00c9,44217251293126494490929,102855834329834116246522,0x4a21481b573b33d1fb37c096ada60d43b4c668951c65a1164a6b20d169ed6b94,41359111,true
0x763868612858358f62b05691dB82Ad35a9b3E110,0x4515A45337F461A11Ff0FE8aBF3c606AE5dC00c9,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,7347014593293302598834514,458257516516593089166328,0xe61e7a29e928ec20a75b630ef75b18a746f4940478e09786333c526110aa60e2,41355599,true
0xa375ea3e1f92d62e3A71B668bAb09f7155267fa3,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,2889044166597859096884,711282555534558198,0x58a7ad7cd7dfbf0e8133ee38e934b576940c59bd5ef40aa15a1f5bd86cf40102,40787801,true
0xc088dA135983E11Bbc3CA5936b5Ff3299DaD57eF,0x60D01EC2D5E98Ac51C8B4cF84DfCCE98D527c747,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,1970122024890915908848,3287964773681763735,0x4b75cdba8bd8b4d4e152657398cc882f2617fdb0d0f28a80628736bbee66edae,40787352,true
0xfBea6DA85f6554fe4D429e9f37f8bA54a9ac94c3,0x779f4E5fB773E17Bc8E809F4ef1aBb140861159a,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,964620626381774696836994,8165455979064761199592,0x85f8a29e72805c4fb84a693a0269c6c9daba236cf18753868a4974390d074b8c,40592049,true
0x30ac02b4c99D140CDE2a212ca807CBdA35D4f6b5,0x25356aeca4210eF7553140edb9b8026089E49396,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,84239911918934501172540,1262725124528695223434,0x8de4ae34e44e565820401d4c71157dc43cc9cf10c5e42d23eeb2cf30c5efdd00,40546225,true
0x5126aC4145eD84eBE28cFB34bB6300Bcef492bB7,0x51cfe5b1E764dC253F4c8C1f19a081fF4C3517eD,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,36707542827073960123070119,17929811076939897622215,0xdd475f81bd14a3576d79581e2a86a7c8a4d62a99435592250dd820f677cf6a65,40544351,true
0x4a18891de69124D2853a4E27543edb7E2e001179,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,244056366937868005849,64544376878465070,0xeba8941f651527703fe9b4f02a7d4ace0b8b7b3686b96b309e22fcf8adf93dd5,40031288,true
0xEFC38C1B0d60725B824EBeE8D431aBFBF12BC953,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,72668578710121037317301,10598413415701793352088,0xd2481980723ff379bc5f3ac97e3050ecbf20ed19b996689f20a7eedff38e1090,35223494,true
